#options: 3840x2160 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:99 out:100 type:b dur:2 cpbdur:2 q:22.90 aq:14.37 tex:38787 mv:25532 misc:6361 imb:163 pmb:2472 smb:29765 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:22.94 aq:8.12 tex:277511 mv:38461 misc:5572 imb:1436 pmb:2982 smb:27982 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:22.90 aq:11.74 tex:54424 mv:29488 misc:6736 imb:140 pmb:2821 smb:29439 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:22.88 aq:14.88 tex:33417 mv:23352 misc:6223 imb:121 pmb:2209 smb:30070 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:22.92 aq:14.89 tex:20164 mv:17251 misc:6377 imb:69 pmb:1889 smb:30442 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:23.11 aq:9.17 tex:188896 mv:26518 misc:5906 imb:1485 pmb:3018 smb:27897 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:23.02 aq:13.61 tex:31114 mv:11243 misc:7019 imb:23 pmb:1990 smb:30387 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:22.98 aq:13.79 tex:3383 mv:1976 misc:3785 imb:9 pmb:542 smb:31849 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:23.07 aq:13.76 tex:5011 mv:3138 misc:4195 imb:10 pmb:682 smb:31708 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:23.27 aq:10.92 tex:133124 mv:36509 misc:6015 imb:1537 pmb:2751 smb:28112 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:23.19 aq:13.58 tex:34458 mv:26247 misc:7087 imb:151 pmb:2578 smb:29671 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:23.15 aq:14.43 tex:6173 mv:6713 misc:5442 imb:23 pmb:1284 smb:31093 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:23.23 aq:15.07 tex:29714 mv:25452 misc:6610 imb:138 pmb:2417 smb:29845 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:23.39 aq:9.63 tex:178317 mv:37695 misc:4660 imb:3269 pmb:1946 smb:27185 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:23.33 aq:13.60 tex:51207 mv:36272 misc:6913 imb:451 pmb:2982 smb:28967 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:23.30 aq:14.20 tex:59166 mv:31686 misc:6404 imb:392 pmb:2747 smb:29261 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:23.36 aq:13.82 tex:26236 mv:26091 misc:6121 imb:291 pmb:2268 smb:29841 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:23.39 aq:7.17 tex:151107 mv:36505 misc:5324 imb:2102 pmb:2113 smb:28185 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:23.39 aq:12.15 tex:69938 mv:29039 misc:6391 imb:318 pmb:2581 smb:29501 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:23.39 aq:14.42 tex:21250 mv:16817 misc:5309 imb:128 pmb:1673 smb:30599 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:23.39 aq:14.66 tex:24693 mv:21896 misc:6395 imb:159 pmb:2187 smb:30054 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:23.19 aq:7.80 tex:256972 mv:42974 misc:4950 imb:2504 pmb:2840 smb:27056 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:23.29 aq:12.27 tex:40292 mv:31651 misc:6865 imb:312 pmb:2730 smb:29358 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:23.34 aq:13.52 tex:16990 mv:21621 misc:6141 imb:144 pmb:2086 smb:30170 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:23.24 aq:14.06 tex:38017 mv:27991 misc:6560 imb:212 pmb:2575 smb:29613 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:23.17 aq:9.10 tex:275575 mv:41399 misc:5338 imb:1490 pmb:3020 smb:27890 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:23.18 aq:12.59 tex:65216 mv:33476 misc:6436 imb:199 pmb:2961 smb:29240 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:23.19 aq:14.03 tex:35103 mv:26754 misc:6175 imb:185 pmb:2201 smb:30014 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:23.18 aq:14.98 tex:24957 mv:22024 misc:6387 imb:126 pmb:2048 smb:30226 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:23.28 aq:9.36 tex:213083 mv:30846 misc:5519 imb:1771 pmb:2940 smb:27689 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:23.23 aq:13.96 tex:40769 mv:17701 misc:7122 imb:39 pmb:2499 smb:29862 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:23.20 aq:14.57 tex:9196 mv:9545 misc:5411 imb:35 pmb:1306 smb:31059 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:23.26 aq:12.77 tex:4642 mv:2476 misc:4082 imb:8 pmb:629 smb:31763 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:23.40 aq:9.87 tex:93413 mv:31025 misc:6386 imb:1150 pmb:2524 smb:28726 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:23.34 aq:14.12 tex:17161 mv:13019 misc:6156 imb:64 pmb:1814 smb:30522 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:23.31 aq:14.91 tex:3878 mv:3279 misc:3379 imb:4 pmb:504 smb:31892 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:23.37 aq:15.21 tex:18059 mv:17247 misc:6030 imb:73 pmb:1852 smb:30475 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:23.47 aq:10.90 tex:149183 mv:38316 misc:5173 imb:3243 pmb:1991 smb:27166 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:23.43 aq:12.21 tex:72492 mv:40469 misc:7039 imb:466 pmb:3314 smb:28620 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:23.42 aq:15.05 tex:39950 mv:28742 misc:6772 imb:210 pmb:2721 smb:29469 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:23.45 aq:13.22 tex:27394 mv:27843 misc:6579 imb:268 pmb:2591 smb:29541 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:23.51 aq:9.90 tex:177163 mv:33369 misc:5588 imb:2505 pmb:1944 smb:27951 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:23.49 aq:13.60 tex:63060 mv:27780 misc:6568 imb:224 pmb:2756 smb:29420 d:- ref:0 ;
